time,open,high,low,close,tick_volume,spread,real_volume
2025-02-05 22:00:00,2863.57,2866.16,2859.97,2862.69,4217,5,0
2025-02-05 23:00:00,2862.46,2867.18,2861.19,2867.02,1278,5,0
2025-02-06 01:00:00,2864.94,2870.97,2861.79,2869.23,1773,5,0
2025-02-06 02:00:00,2869.25,2869.99,2867.38,2869.79,1714,5,0
2025-02-06 03:00:00,2869.82,2872.03,2863.75,2871.39,4446,5,0
2025-02-06 04:00:00,2871.76,2873.28,2868.31,2870.71,3952,5,0
2025-02-06 05:00:00,2870.59,2870.8,2864.37,2869.42,3429,5,0
2025-02-06 06:00:00,2869.35,2872.25,2868.32,2868.5,2537,5,0
2025-02-06 07:00:00,2868.56,2869.98,2865.42,2868.36,3302,5,0
2025-02-06 08:00:00,2868.36,2871.39,2857.66,2859.06,4020,5,0
2025-02-06 09:00:00,2859.0,2861.73,2855.05,2855.88,4184,5,0
2025-02-06 10:00:00,2855.77,2858.56,2848.94,2856.07,4712,5,0
2025-02-06 11:00:00,2856.14,2859.97,2855.79,2859.43,4069,5,0
2025-02-06 12:00:00,2859.33,2861.79,2855.73,2859.17,3853,5,0
2025-02-06 13:00:00,2858.64,2867.33,2858.3,2866.07,4016,5,0
2025-02-06 14:00:00,2866.06,2870.3,2863.62,2864.42,4472,5,0
2025-02-06 15:00:00,2864.47,2864.96,2855.56,2856.69,5626,5,0
2025-02-06 16:00:00,2856.74,2859.8,2841.14,2841.91,5906,5,0
2025-02-06 17:00:00,2841.99,2853.28,2834.1,2850.56,6144,5,0
2025-02-06 18:00:00,2850.82,2854.71,2848.86,2848.86,5096,5,0
2025-02-06 19:00:00,2848.77,2852.61,2848.06,2852.2,4136,5,0
2025-02-06 20:00:00,2852.35,2853.6,2849.87,2852.57,4211,5,0
2025-02-06 21:00:00,2852.54,2854.17,2850.37,2853.81,3775,5,0
2025-02-06 22:00:00,2853.8,2857.27,2853.59,2856.42,4402,5,0
2025-02-06 23:00:00,2856.49,2857.21,2854.94,2855.55,1407,6,0
2025-02-07 01:00:00,2855.66,2858.93,2855.63,2858.05,1549,5,0
2025-02-07 02:00:00,2858.05,2860.49,2858.03,2858.42,1716,5,0
2025-02-07 03:00:00,2858.38,2868.24,2857.73,2866.27,4188,5,0
2025-02-07 04:00:00,2866.17,2869.3,2865.51,2868.78,3312,5,0
2025-02-07 05:00:00,2868.75,2870.63,2866.05,2867.12,3120,5,0
2025-02-07 06:00:00,2867.19,2869.52,2866.17,2866.4,2281,5,0
2025-02-07 07:00:00,2866.6,2867.03,2862.04,2862.05,3005,5,0
2025-02-07 08:00:00,2861.92,2866.11,2859.02,2860.65,4010,5,0
2025-02-07 09:00:00,2860.61,2865.75,2860.07,2864.24,3430,5,0
2025-02-07 10:00:00,2864.25,2866.69,2863.3,2866.29,3380,5,0
2025-02-07 11:00:00,2866.13,2870.65,2865.54,2868.97,3800,5,0
2025-02-07 12:00:00,2868.98,2869.25,2863.47,2867.55,3639,5,0
2025-02-07 13:00:00,2867.42,2868.22,2864.97,2867.63,3244,5,0
2025-02-07 14:00:00,2867.74,2867.97,2863.49,2863.61,3620,5,0
2025-02-07 15:00:00,2863.63,2870.69,2852.39,2862.41,5810,5,0
2025-02-07 16:00:00,2862.52,2878.34,2856.18,2876.04,6161,5,0
2025-02-07 17:00:00,2874.1,2886.68,2873.35,2880.37,5810,5,0
2025-02-07 18:00:00,2880.48,2881.43,2860.46,2860.76,5847,5,0
2025-02-07 19:00:00,2860.71,2862.66,2853.25,2860.23,5110,5,0
2025-02-07 20:00:00,2860.17,2865.2,2859.81,2861.34,3678,5,0
2025-02-07 21:00:00,2861.46,2863.38,2859.1,2859.73,3132,5,0
2025-02-07 22:00:00,2859.67,2863.8,2859.4,2860.58,4113,5,0
2025-02-07 23:00:00,2860.65,2863.38,2859.98,2861.3,1365,5,0
2025-02-10 01:00:00,2857.21,2870.47,2854.81,2867.64,3106,5,0
2025-02-10 02:00:00,2867.64,2869.2,2865.86,2868.02,2667,5,0
2025-02-10 03:00:00,2868.03,2876.54,2866.03,2871.89,4791,5,0
2025-02-10 04:00:00,2871.96,2875.0,2871.23,2873.8,3721,5,0
2025-02-10 05:00:00,2873.76,2875.69,2871.28,2875.51,2771,5,0
2025-02-10 06:00:00,2875.61,2879.66,2874.3,2879.12,2586,6,0
2025-02-10 07:00:00,2879.41,2880.11,2876.03,2879.27,3287,7,0
2025-02-10 08:00:00,2879.45,2892.12,2878.86,2888.23,4310,5,0
2025-02-10 09:00:00,2888.18,2896.51,2886.62,2895.45,4226,5,0
2025-02-10 10:00:00,2895.5,2898.79,2892.23,2896.68,4561,5,0
2025-02-10 11:00:00,2896.79,2903.28,2896.23,2903.0,4157,5,0
